INSTNM,SAT_AVG_ALL,UGDS,UGDS_WHITE,MD_EARN_WNE_P10
Whittier College,1057,1643,0.3135,43100
Woodbury University,944,1245,0.3398,46100
The Wright Institute,NULL,NULL,NULL,PrivacySuppressed
Western State College of Law at Argosy University,NULL,NULL,NULL,37800
Thomas Jefferson School of Law,NULL,NULL,NULL,PrivacySuppressed
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,NULL,161,0.9565,PrivacySuppressed
Yuba College,NULL,6193,0.4134,27900
The Salon Professional Academy-Grand Junction,NULL,77,0.6883,PrivacySuppressed
Adams State University,954,2067,0.4935,34200
Aims Community College,NULL,3550,0.5679,33000
Arapahoe Community College,NULL,6860,0.6394,35700
Bel-Rea Institute of Animal Technology,NULL,445,0.7483,30200
Everest College-Colorado Springs,NULL,209,0.4163,24000
University of Colorado Denver/Anschutz Medical Campus,1055,10855,0.5063,53700
University of Colorado Colorado Springs,1088,9514,0.6652,41100
Redstone College,NULL,450,0.5133,48000
University of Colorado Boulder,1212,26496,0.7059,48100
Colorado Christian University,NULL,3885,0.6677,36900
Colorado College,NULL,2096,0.6398,41900
Concorde Career College-Aurora,NULL,578,0.3426,29400
The Art Institute of Colorado,NULL,1145,0.5345,32000
Colorado Mountain College,NULL,3514,0.689,30000
Colorado Northwestern Community College,NULL,668,0.753,34100
Colorado School of Mines,1339,4532,0.7471,82100
Colorado School of Trades,NULL,171,0.1813,34100
Colorado State University-Fort Collins,1145,22727,0.7365,45000
Colorado Technical University-Colorado Springs,NULL,1135,0.4899,49000
Empire Beauty School-Lakewood,NULL,57,0.386,20600
Community College of Aurora,NULL,4856,0.3651,33100
CollegeAmerica-Denver,NULL,299,0.2977,24800
Delta Montrose Technical College,NULL,194,0.4691,33200
Community College of Denver,NULL,7076,0.3789,30500
Lincoln College of Technology-Denver,NULL,1054,0.3472,33800
Denver Seminary,NULL,NULL,NULL,NULL
University of Denver,1249,5758,0.6747,53800
Emily Griffith Technical College,NULL,4144,0.5693,23600
Fort Lewis College,1012,3559,0.5187,34300
Front Range Community College,NULL,14848,0.6897,34000
Glenwood Beauty Academy,NULL,35,0.4286,19100
Hair Dynamics Education Center,NULL,121,0.6529,17900
Iliff School of Theology,NULL,NULL,NULL,PrivacySuppressed
International Salon and Spa Academy,NULL,231,0.5065,17800
Lamar Community College,NULL,475,0.6126,27100
Colorado Mesa University,952,8625,0.7006,35400
Metropolitan State University of Denver,971,19649,0.5835,38400
Morgan Community College,NULL,707,0.6209,28200
Naropa University,NULL,397,0.6272,21400
National American University-Colorado Springs,NULL,219,0.484,34800
National American University-Denver,NULL,38,0.5263,34800
Nazarene Bible College,NULL,725,0.7641,29300
Northeastern Junior College,NULL,1063,0.6877,31500
University of Northern Colorado,1031,8915,0.5554,40200
Otero Junior College,NULL,923,0.5233,27300
Everest College-Thornton,NULL,232,0.3405,26800
Pikes Peak Community College,NULL,11043,0.6231,30600
IBMC College,NULL,344,0.7413,25800
Pueblo Community College,NULL,4181,0.5857,27300
Red Rocks Community College,NULL,6518,0.6967,34800
Regis University,1092,4458,0.5922,51700
Rocky Mountain College of Art and Design,NULL,1074,0.5903,28200
Montessori Education Center of the Rockies,NULL,27,0.8148,PrivacySuppressed
Colorado State University-Pueblo,970,3944,0.4845,36000
Pickens Technical College,NULL,1184,0.3252,30300
Intellitec College-Colorado Springs,NULL,762,0.6417,32900
Intellitec College-Grand Junction,NULL,591,0.5161,20800
Trinidad State Junior College,NULL,1062,0.4605,25000
Empire Beauty School-Thornton,NULL,79,0.481,15700
Western State Colorado University,964,1945,0.7455,36200
Albertus Magnus College,NULL,1188,0.3981,51200
Paul Mitchell the School-Danbury,NULL,125,0.68,PrivacySuppressed
Asnuntuck Community College,NULL,1295,0.7035,35100
Branford Hall Career Institute-Branford Campus,NULL,381,0.3465,27500
Lincoln College of New England-Southington,NULL,619,0.454,32300
Bridgeport Hospital School of Nursing,NULL,185,0.7189,71700
University of Bridgeport,926,2897,0.2358,42100
Central Connecticut State University,1011,9693,0.6478,46000
Charter Oak State College,NULL,1634,0.593,39800
Connecticut Center for Massage Therapy-Newington,NULL,324,0.6296,30500
Connecticut College,NULL,1854,0.706,53400
Porter and Chester Institute of Branford,NULL,256,0.4961,34200
University of Connecticut,1233,18451,0.606,55800
Goodwin College,NULL,3333,0.526,31900
Lincoln Technical Institute-East Windsor,NULL,875,0.6343,42800
Eastern Connecticut State University,NULL,4767,0.6662,44200
Fairfield University,NULL,3863,0.7616,69800
Paul Mitchell the School-North Haven,NULL,160,0.6,24100
Capital Community College,NULL,3110,0.1817,32000
Rensselaer Hartford Graduate Center Inc,1368,NULL,NULL,77900
American Institute-West Hartford,NULL,386,0.1554,24100
Hartford Seminary,NULL,NULL,NULL,NULL
University of Hartford,1050,5028,0.5567,45200
Holy Apostles College and Seminary,NULL,95,0.3368,NULL
Housatonic Community College,NULL,4974,0.2982,30300
Manchester Community College,NULL,5952,0.5252,33100
Naugatuck Valley Community College,NULL,6302,0.5262,34500
Middlesex Community College,NULL,2505,0.6359,34900
Mitchell College,NULL,659,0.61,31300
Three Rivers Community College,NULL,3949,0.6318,30900
Lincoln Technical Institute-New Britain,NULL,454,0.3987,42800
New England Tractor Trailer Training School of Connecticut,NULL,318,0.4906,40000
University of New Haven,1066,4942,0.5931,49400
Ridley-Lowell Business & Technical Institute-New London,NULL,196,0.5969,25400
Norwalk Community College,NULL,4714,0.3038,32400
Northwestern Connecticut Community College,NULL,1132,0.8286,31200
Paier College of Art Inc,NULL,112,0.7054,27800
Porter and Chester Institute of Stratford,NULL,1961,0.4901,38600
Post University,893,6170,0.3959,39400
Quinebaug Valley Community College,NULL,1530,0.751,26500
Quinnipiac University,1095,6931,0.7661,60600
Sacred Heart University,NULL,5109,0.7091,54300
University of Saint Joseph,932,904,0.5354,48800
Gateway Community College,NULL,6825,0.3862,31400
St Vincent's College,905,669,0.5725,59000
Southern Connecticut State University,918,8106,0.5598,42700
Stone Academy-West Haven,NULL,474,0.23,19500
Tri-State College of Acupuncture,NULL,NULL,NULL,PrivacySuppressed
Trinity College,NULL,2251,0.649,58800
Tunxis Community College,NULL,3515,0.6336,32800
Wesleyan University,NULL,2819,0.5349,49200
Western Connecticut State University,NULL,5081,0.6115,43300
Yale University,1498,5528,0.4651,83200
Margaret H Rollins School of Nursing at Beebe Medical Center,NULL,46,0.8913,PrivacySuppressed
Dawn Career Institute LLC,NULL,178,0.2809,23000
Delaware Technical Community College-Terry,NULL,12106,0.5489,32700
Delaware State University,892,3686,0.1104,34300
University of Delaware,1198,18353,0.7436,55100
Goldey-Beacom College,NULL,622,0.4309,39700
Schilling-Douglas School of Hair Design LLC,NULL,120,0.6917,20000
Wesley College,836,1496,0.371,44000
Wilmington University,NULL,8674,0.5271,40600
American University,1252,7300,0.5816,59200
Catholic University of America,NULL,3462,0.6412,55800
University of the District of Columbia,NULL,4198,0.0417,33100
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,NULL,NULL,NULL,NULL
Gallaudet University,883,989,0.4863,29200
George Washington University,1294,10901,0.5627,67100
Georgetown University,1416,7168,0.5785,90100
Howard University,1105,6796,0.0169,46800
Medtech Institute,NULL,1486,0.037,27000
Strayer University-District of Columbia,NULL,809,0.042,47300
National Conservatory of Dramatic Arts,NULL,39,0.4872,PrivacySuppressed
Trinity Washington University,NULL,1565,0.0185,36600
Wesley Theological Seminary,NULL,NULL,NULL,NULL
Wyotech-Daytona,NULL,234,0.8291,34100
The Art Institute of Fort Lauderdale,NULL,1274,0.1633,30000
Atlantic Technical College,NULL,2818,0.4315,31300
The Baptist College of Florida,946,457,0.7899,32100
Barry University,926,3703,0.2128,44300
Bethune-Cookman University,NULL,3666,0.0188,28400
Lynn University,999,1957,0.4415,38400
GUTI The Premier Beauty & Wellness Academy,NULL,87,0.3218,15800
Bradford-Union Technical Center,NULL,247,0.7085,15100
Eastern Florida State College,NULL,12266,0.6756,28100
Broward College,NULL,38474,0.1816,33300
Fortis College-Winter Park,NULL,4,0,22200
Carlos Albizu University-Miami,NULL,202,0.0248,30700
College of Central Florida,NULL,6670,0.6,30600
Johnson University Florida,1009,201,0.5871,29400
University of Central Florida,1179,54091,0.5325,43300
Charlotte Technical College,NULL,160,0.7313,25200
Chipola College,NULL,1548,0.7416,30100
Lorenzo Walker Technical College,NULL,682,0.3255,27600
Daytona State College,NULL,12474,0.6532,27700
South University-West Palm Beach,NULL,943,0.2365,30300
Eckerd College,1134,2002,0.7587,41200
Florida SouthWestern State College,NULL,10780,0.5122,33000
Edward Waters College,781,930,0.0441,23300
Embry-Riddle Aeronautical University-Daytona Beach,NULL,5247,0.5363,62400
Florida Agricultural and Mechanical University,966,7705,0.0322,35800
Florida Atlantic University,1047,24228,0.4314,41500
Florida State College at Jacksonville,NULL,21565,0.4908,31200
Flagler College-St Augustine,1071,2691,0.7744,36700
Florida College,1008,548,0.7755,35700
Concorde Career Institute-Jacksonville,NULL,483,0.3602,19800
Concorde Career Institute-Miramar,NULL,467,0.045,22500
Concorde Career Institute-Tampa,NULL,272,0.2243,23200
Adventist University of Health Sciences,928,1704,0.4278,51400
Florida Institute of Technology,1194,3320,0.419,61200
Florida Institute of Ultrasound Inc,NULL,59,0.8814,48000
Florida International University,1090,40208,0.0945,44200
Florida Keys Community College,NULL,887,0.5389,32200
Florida Memorial University,NULL,1399,0.0043,25900
Florida Career College-Miami,NULL,278,0.018,26300
Florida School of Massage,NULL,127,0.748,PrivacySuppressed
Florida Southern College,1172,2519,0.7396,39300
Florida State University,1215,32229,0.6438,44900
Florida Technical College,NULL,4575,0.1733,24200
University of Florida,1272,32376,0.569,53100
Everest University-Pompano Beach,NULL,569,0.1687,28000
Fort Pierce Beauty Academy,NULL,32,0,16100
Full Sail University,NULL,17804,0.4918,37500
George Stone Technical Center,NULL,603,0.6783,21400
George T Baker Aviation Technical College,NULL,699,0.0887,40000
Gulf Coast State College,NULL,4258,0.7196,29100
Key College,NULL,49,0.7551,26000
Hillsborough Community College,NULL,23138,0.3497,32200
Hobe Sound Bible College,NULL,228,0.5132,PrivacySuppressed
Hollywood Institute of Beauty Careers,NULL,65,0.1385,NULL
Cortiva Institute-Florida,NULL,252,0.4683,28400
Indian River State College,NULL,14403,0.5454,28100
Sanford-Brown College-Tampa,NULL,252,0.1825,28400
International Academy,NULL,234,0.5085,18300
AI Miami International University of Art and Design,NULL,2412,0.1364,30400
ITT Technical Institute-Tampa,NULL,467,0.4154,38800
Jacksonville University,NULL,2964,0.4787,45600
Jones College-Jacksonville,NULL,334,0.1557,29800
Keiser University-Ft Lauderdale,NULL,15023,0.4041,30200
Heritage Institute-Ft Myers,NULL,526,0.4772,21300
La Belle Beauty School,NULL,285,0,14100
Florida Gateway College,NULL,1996,0.7856,27700
Lake Technical College,NULL,598,0.6806,24900
Lake-Sumter State College,NULL,3797,0.6384,28900
Fort Myers Technical College,NULL,671,0.6006,29300
Lively Technical Center,NULL,694,0.5043,22700
Lindsey Hopkins Technical College,NULL,598,0.0502,31600
Loraines Academy & Spa,NULL,156,0.5897,18000
Luther Rice College & Seminary,NULL,409,0.5134,42500
State College of Florida-Manatee-Sarasota,NULL,9014,0.6553,29300
Manatee Technical College,NULL,966,0.5994,26000
Traviss Technical College,NULL,825,0.5055,29600
Merryfield School of Pet Grooming,NULL,76,0.3684,NULL
Trinity International University-Florida,1042,175,0.12,41000
Miami Lakes Educational Center and Technical College,NULL,999,0.1912,30800
Miami Dade College,NULL,57884,0.0575,30000
University of Miami,1319,10768,0.4187,57800
Orange Technical College-Mid Florida Campus,NULL,1368,0.402,25400
Beauty Schools of America-Miami,NULL,412,0.0218,15000
Remington College-Tampa Campus,NULL,40,0.35,26300
Academy of Palm Beach,NULL,116,0.3276,16000
Lincoln College of Technology-West Palm Beach,NULL,567,0.3051,27700
Paul Mitchell the School-Jacksonville,NULL,132,0.6288,16000
North Florida Community College,NULL,833,0.6411,26600
University of North Florida,1140,13562,0.6863,42100
Nova Southeastern University,1130,4565,0.3143,44200
Northwest Florida State College,NULL,4299,0.6897,27900
Everest University-North Orlando,NULL,272,0.2169,24400
Orange Technical College-Orlando Campus,NULL,394,0.2335,29500
Palm Beach Atlantic University,1065,2587,0.6162,39400
Palm Beach State College,NULL,26351,0.3504,31900
Pasco-Hernando State College,NULL,9254,0.6705,28600
Pensacola State College,NULL,7836,0.6557,26500
Pinellas Technical College-Clearwater,NULL,760,0.6895,28200
Polk State College,NULL,8436,0.5318,30500
Radford M Locklin Technical Center,NULL,315,0.8413,22100
Saint Vincent de Paul Regional Seminary,NULL,NULL,NULL,NULL
Ridge Technical College,NULL,863,0.4079,18600
Ringling College of Art and Design,NULL,1258,0.4905,33500
Toni & Guy Hairdressing Academy-Jacksonville,NULL,43,0.6047,20200
Robert Morgan Educational Center and Technical College,NULL,620,0.1113,26000
Rollins College,NULL,2678,0.6098,43700
First Coast Technical College,NULL,525,0.821,21800
Saint Leo University,NULL,11575,0.3698,42800
St Petersburg College,NULL,27354,0.6367,31800
Pinellas Technical College-St. Petersburg,NULL,682,0.4663,26500
Santa Fe College,NULL,13291,0.578,33300
Suncoast Technical College,NULL,496,0.7923,24000
Argosy University-Sarasota,NULL,133,0.4887,37800
Seminole State College of Florida,NULL,15747,0.4944,31400
Sheridan Technical College,NULL,1553,0.2151,28400
Saint John Vianney College Seminary,NULL,64,0.2813,NULL
Saint Johns River State College,NULL,4962,0.7138,29700
South Florida State College,NULL,2049,0.491,24800
University of South Florida-Main Campus,1167,30282,0.5137,41800
St Thomas University,924,882,0.1032,45600
Stetson University,NULL,3042,0.6515,40500
Southeastern University,955,3412,0.6175,33200
Bene's Career Academy,NULL,369,0.7046,17500
RIVEROAK Technical College,NULL,164,0.5671,24700
Tallahassee Community College,NULL,11357,0.4858,29900
Talmudic College of Florida,NULL,46,0.8478,33900
Everest University-Tampa,NULL,359,0.2591,26700
Everest University-Largo,NULL,251,0.5139,24500
The University of Tampa,1092,7061,0.5917,45800
Taylor Technical Institute,NULL,134,0.7612,16500
Tom P Haney Technical Center,NULL,444,0.7297,23300
Trinity Baptist College,845,350,0.6114,28200
Trinity College of Florida,898,203,0.5074,28100
Fashion Focus Hair Academy,NULL,82,0.8171,PrivacySuppressed
Valencia College,NULL,37925,0.2957,31000
Warner University,879,1026,0.4006,39200
Florida Panhandle Technical College,NULL,271,0.797,24100
Webber International University,902,681,0.3715,33000
Rasmussen College-Florida,NULL,7352,0.6642,31000
The University of West Florida,1053,9783,0.6526,36600
Orange Technical College-Westside Campus,NULL,724,0.3315,21600
William T McFatter Technical College,NULL,994,0.3179,29500
Orange Technical College-Winter Park Campus,NULL,255,0.2824,22300
Withlacoochee Technical College,NULL,210,0.819,24800
Abraham Baldwin Agricultural College,933,3193,0.7899,31500
Agnes Scott College,NULL,846,0.3274,36500
Interactive College of Technology-Chamblee,NULL,467,0.0835,20600
Interactive College of Technology-Morrow,NULL,38,0.0263,20600
Albany Technical College,NULL,3046,0.1858,21000
Darton State College,NULL,5163,0.4741,29400
Albany State University,883,2949,0.0427,31500
Andrew College,NULL,305,0.4,28300
Armstrong State University,997,6184,0.5702,38200
The Art Institute of Atlanta,NULL,2218,0.1159,30400
Georgia Career Institute,NULL,473,0.3721,16000
Atlanta Technical College,NULL,3558,0.0228,21000
Point University,910,1337,0.4435,32800
Atlanta Metropolitan State College,NULL,2852,0.0144,26600
Atlanta's John Marshall Law School,NULL,NULL,NULL,NULL
Atlanta School of Massage,NULL,162,0.3025,26200
Clark Atlanta University,850,2741,0.0004,34800
Augusta Technical College,NULL,4176,0.4116,24100
Bainbridge State College,NULL,1988,0.3954,24800
Bauder College,NULL,42,0.0476,23700
Beauty College of America,NULL,69,0.0145,14200
Berry College,1179,2089,0.8109,38600
Beulah Heights University,NULL,487,0.0287,27700
Brenau University,990,1556,0.5064,40700
Brewton-Parker College,NULL,405,0.4148,29500
Brown College of Court Reporting,NULL,226,0.3628,31000
College of Coastal Georgia,935,2890,0.6623,28400
West Georgia Technical College,NULL,5595,0.6086,26000
Carver Bible College,NULL,60,0,NULL
Clayton  State University,NULL,5920,0.1755,37600
Columbia Theological Seminary,NULL,NULL,NULL,NULL
Columbus Technical College,NULL,2845,0.4186,25300
Columbus State University,961,6743,0.5143,34600
Georgia Northwestern Technical College,NULL,4484,0.7647,24600
Covenant College,1189,1007,0.8669,39100
Dalton State College,NULL,4794,0.6412,30500
Pro Way Hair School,NULL,133,0.0075,14400
South University-Savannah,NULL,711,0.391,30300
East Georgia State College,NULL,2878,0.4479,30000
Emmanuel College,930,763,0.6723,29800
Emory University,1366,6770,0.4058,61500
Georgia Highlands College,NULL,5497,0.6595,32200
